,id,order_id,restaurant_name,order_name
74,75,O00701NQR3N,Eazie,Mango dream (vegetarisch en vegan)
75,76,O00701NQR3N,Eazie,Regular wok meal
76,77,ORQQNPQR73N,Delftse Panda,"Loempia ""Delftse panda"""
77,78,ORQQNPQR73N,Delftse Panda,Keuzemenu 1 persoon
78,79,O5NQRPQ7P3N,India Garden,Samosa
79,80,O5NQRPQ7P3N,India Garden,King prawn butterfly
80,81,O5NQRPQ7P3N,India Garden,Chicken tikka masala
81,82,OOO3P53OO3N,De Ark Grillburgers,Combi menu XL twister
82,83,ONO1OPRNN3N,Delftse Panda,Mapu taufu
83,84,ONO1OPRNN3N,Delftse Panda,Cola
84,85,ON5PQ00R03N,De Ark Grillburgers,Combi menu twister
85,86,ON5PQ00R03N,De Ark Grillburgers,Fanta Orange 33cl
86,87,OOP1N37103N,Delftse Panda,Keuzemenu 2 a 3 personen
87,88,OOP1N37103N,Delftse Panda,Heineken
88,89,O3711NQ15NN,Eazie,Small wok meal
89,90,O3711NQ15NN,Eazie,Large wok meal
90,91,OO757N05ONN,De Ark Grillburgers,Mixed grill the Ark
91,92,ONR700133NN,De Ark Grillburgers,Crispy chicken burger
92,93,ONR700133NN,De Ark Grillburgers,Mexico wrap
93,94,O5NNOQQ3NNN,Pavarotti,Pasta polpette
94,95,O5NNOQQ3NNN,Pavarotti,Lasagna
95,96,OR0P1RR371N,De Ark Grillburgers,BurgerDeal
96,97,OR0P1RR371N,De Ark Grillburgers,Mexico wrap
97,98,OOPNP0OOP1N,Eazie,Regular wok meal
98,99,OOPNP0OOP1N,Eazie,Large wok meal
99,100,OOPNP0OOP1N,Eazie,Korean BBQ met kimchi
100,101,OORO50R1P1N,Eazie,Large wok meal
